scheduler,rep,kernel,seconds,bandwidth_gb_s,bytes,checksum
default,1,stream_triad,0.404025,26.5761,10737418240,15360.0
default,1,wrf_stencil,0.368012,57.4785,21152793600,595.899
default,1,gromacs_pairlist,0.144296,111.619,16106127360,5698.58
default,1,sst_sparse,1.69594,16.6195,28185722880,7776.0
default,1,quantum_state,0.18334,29.2829,5368709120,1.67673
scx_nest_slug,1,stream_triad,0.367757,29.1971,10737418240,15360.0
scx_nest_slug,1,wrf_stencil,0.337214,62.7281,21152793600,595.899
scx_nest_slug,1,gromacs_pairlist,0.140032,115.018,16106127360,5698.58
scx_nest_slug,1,sst_sparse,1.72542,16.3355,28185722880,7776.0
scx_nest_slug,1,quantum_state,0.152219,35.2696,5368709120,1.67673
default,2,stream_triad,0.402841,26.6542,10737418240,15360.0
default,2,wrf_stencil,0.369352,57.27,21152793600,595.899
default,2,gromacs_pairlist,0.177341,90.8203,16106127360,5698.58
default,2,sst_sparse,1.73031,16.2894,28185722880,7776.0
default,2,quantum_state,0.182617,29.3988,5368709120,1.67673
scx_nest_slug,2,stream_triad,0.366475,29.2992,10737418240,15360.0
scx_nest_slug,2,wrf_stencil,0.336735,62.8173,21152793600,595.899
scx_nest_slug,2,gromacs_pairlist,0.138436,116.343,16106127360,5698.58
scx_nest_slug,2,sst_sparse,1.75253,16.0829,28185722880,7776.0
scx_nest_slug,2,quantum_state,0.153551,34.9636,5368709120,1.67673
default,3,stream_triad,0.391293,27.4409,10737418240,15360.0
default,3,wrf_stencil,0.373257,56.6709,21152793600,595.899
default,3,gromacs_pairlist,0.170608,94.4041,16106127360,5698.58
default,3,sst_sparse,1.85211,15.2181,28185722880,7776.0
default,3,quantum_state,0.184578,29.0863,5368709120,1.67673
scx_nest_slug,3,stream_triad,0.367192,29.242,10737418240,15360.0
scx_nest_slug,3,wrf_stencil,0.338787,62.4369,21152793600,595.899
scx_nest_slug,3,gromacs_pairlist,0.14023,114.855,16106127360,5698.58
scx_nest_slug,3,sst_sparse,1.77592,15.8711,28185722880,7776.0
scx_nest_slug,3,quantum_state,0.152181,35.2786,5368709120,1.67673
default,4,stream_triad,0.409204,26.2398,10737418240,15360.0
default,4,wrf_stencil,0.373599,56.6189,21152793600,595.899
default,4,gromacs_pairlist,0.168617,95.5189,16106127360,5698.58
default,4,sst_sparse,1.86404,15.1208,28185722880,7776.0
default,4,quantum_state,0.182799,29.3695,5368709120,1.67673
scx_nest_slug,4,stream_triad,0.36658,29.2908,10737418240,15360.0
scx_nest_slug,4,wrf_stencil,0.3374,62.6935,21152793600,595.899
scx_nest_slug,4,gromacs_pairlist,0.139894,115.131,16106127360,5698.58
scx_nest_slug,4,sst_sparse,1.64088,17.1772,28185722880,7776.0
scx_nest_slug,4,quantum_state,0.152276,35.2565,5368709120,1.67673
default,5,stream_triad,0.404741,26.5291,10737418240,15360.0
default,5,wrf_stencil,0.368626,57.3828,21152793600,595.899
default,5,gromacs_pairlist,0.172481,93.3792,16106127360,5698.58
default,5,sst_sparse,1.89281,14.8909,28185722880,7776.0
default,5,quantum_state,0.18128,29.6156,5368709120,1.67673
scx_nest_slug,5,stream_triad,0.37219,28.8493,10737418240,15360.0
scx_nest_slug,5,wrf_stencil,0.337101,62.7491,21152793600,595.899
scx_nest_slug,5,gromacs_pairlist,0.138328,116.434,16106127360,5698.58
scx_nest_slug,5,sst_sparse,1.68894,16.6884,28185722880,7776.0
scx_nest_slug,5,quantum_state,0.152819,35.1312,5368709120,1.67673
